,District_1,District_2
1119,nagapattinam/Q15185,thiruvarur/Q15197
1120,namakkal/Q15187,salem/Q15192
1121,narmada/Q1797230,vadodara/Q578285
1122,navsari/Q1797349,tapi/Q670165
1123,nilgiris/Q15188,palakkad/Q1535742
1124,panchmahal/Q1781463,vadodara/Q578285
1125,perambalur/Q15186,tiruchirappalli/Q15201
1126,puducherry/Q984035,viluppuram/Q15205
1127,pudukkottai/Q15190,tiruchirappalli/Q15201
1128,pudukkottai/Q15190,ramanathapuram/Q15191
1129,raichur/Q1430830,vijayapura/Q1722370
1130,ramanagara/Q427679,tumakuru/Q1301635
1131,ramanathapuram/Q15191,thoothukudi/Q15198
1132,s.p.s._nellore/Q15383,y.s.r._kadapa/Q15342
1133,salem/Q15192,tiruchirappalli/Q15201
1134,sangli/Q1425060,vijayapura/Q1722370
1135,saraikela-kharsawan/Q2362658,west_singhbhum/Q1950527
1136,shivamogga/Q2981389,udupi/Q1483337
1137,sivaganga/Q15195,virudhunagar/Q15209
1138,tawang/Q15449,west_kameng/Q15459
1139,thanjavur/Q15194,tiruchirappalli/Q15201
1140,thiruvallur/Q15204,vellore/Q15206
1141,thoothukudi/Q15198,virudhunagar/Q15209
1142,tirunelveli/Q15200,virudhunagar/Q15209
1143,tiruvannamalai/Q15207,vellore/Q15206
1144,yadagir/Q1786949,vijayapura/Q1722370
1145,mumbai/Q2595374,mumbai/Q2595374
1146,delhi/Q549852,delhi/Q549852
1147,dibang valley/Q154456,dibang valley/Q154456
1148,ribhoi/Q1884672,west_jaintia_hills/Q1920789
