,District_1,District_2
861,kurnool/Q15381,prakasam/Q15390
862,kurnool/Q15381,jogulamba_gadwal/Q27897618
863,kurnool/Q15381,nagarkurnool/Q28169773
864,jogulamba_gadwal/Q27897618,wanaparthy/Q28172504
865,jogulamba_gadwal/Q27897618,narayanpet/Q61746013
866,narayanpet/Q61746013,kalaburagi/Q2641873
867,narayanpet/Q61746013,vikarabad/Q28170173
868,narayanpet/Q61746013,mahabubnagar/Q15380
869,narayanpet/Q61746013,yadagir/Q1786949
870,sangareddy/Q28169753,kalaburagi/Q2641873
871,sangareddy/Q28169753,medchal–malkajgiri/Q27614841
872,sangareddy/Q28169753,rangareddy/Q15388
873,vikarabad/Q28170173,kalaburagi/Q2641873
874,west_godavari/Q15404,bhadradri_kothagudem/Q28169767
875,west_godavari/Q15404,krishna/Q15382
876,west_godavari/Q15404,khammam/Q15371
877,bhadradri_kothagudem/Q28169767,mahabubabad/Q28169761
878,khammam/Q15371,krishna/Q15382
879,khammam/Q15371,suryapet/Q28169770
880,krishna/Q15382,suryapet/Q28169770
